	f1	f2	f3	f4	f5	f6	f7	f8	f9	clase
1	-1.03781	-0.944427	-0.526411	-0.110819	0.418879	0.577938	-0.159349	-0.137007	-0.282591	0
2	1.51468	-1.92965	-0.526411	2.85711	0.418879	0.577938	0.996911	0.887415	-0.282591	0
3	1.27159	-0.944427	-0.526411	1.58514	0.418879	0.577938	0.996911	0.887415	-0.282591	0
4	1.15004	0.0408003	-1.75138	2.43312	0.418879	0.577938	0.996911	-0.137007	-0.282591	0
5	0.420754	0.0408003	-0.526411	2.00913	0.418879	0.577938	0.996911	-1.16143	-0.282591	0
6	-1.64555	1.02603	0.698555	-1.38279	0.418879	0.577938	0.996911	-0.137007	-0.282591	0
7	0.663848	-0.944427	-0.526411	1.16115	0.418879	0.577938	0.996911	-1.16143	-0.282591	0
8	-1.40246	0.0408003	-0.526411	-0.958798	0.418879	-1.72912	0.996911	-1.16143	-0.282591	0
9	-0.673173	-0.944427	-0.526411	-0.110819	0.418879	0.577938	0.996911	0.887415	-0.282591	0
10	1.51468	-1.92965	-2.97635	2.00913	0.418879	0.577938	-0.159349	-1.16143	3.53628	0
11	0.663848	-1.92965	-0.526411	-0.534808	0.418879	-1.72912	0.996911	-0.137007	3.53628	0
12	1.15004	-1.92965	0.698555	0.313171	0.418879	0.577938	-1.31561	-0.137007	-0.282591	0
13	1.39313	1.02603	0.698555	-0.958798	0.418879	-1.72912	-1.31561	0.887415	-0.282591	0
14	1.15004	-0.944427	0.698555	-0.958798	0.418879	-1.72912	0.996911	-0.137007	-0.282591	0
15	0.663848	0.0408003	0.698555	-0.534808	0.418879	0.577938	-0.159349	-0.137007	-0.282591	0
16	-0.79472	-0.944427	0.698555	-1.38279	0.418879	0.577938	2.15317	-2.18585	-0.282591	0
17	1.87932	-1.92965	-2.97635	1.58514	0.418879	0.577938	-0.159349	0.887415	-0.282591	0
18	0.785396	-0.944427	-1.75138	1.16115	0.418879	0.577938	-0.159349	0.887415	-0.282591	0
19	0.542301	-0.944427	-1.75138	2.00913	0.418879	0.577938	-0.159349	-0.137007	-0.282591	0
20	0.785396	-0.944427	-2.97635	0.73716	0.418879	0.577938	-0.159349	-2.18585	3.53628	0
21	-0.79472	0.0408003	0.698555	-0.958798	0.418879	-1.72912	2.15317	-2.18585	-0.282591	0
22	-1.03781	0.0408003	0.698555	-1.38279	0.418879	-1.72912	0.996911	-2.18585	-0.282591	0
23	1.63623	1.02603	0.698555	-0.958798	-2.3857	0.577938	-1.31561	0.887415	-0.282591	0
24	0.785396	1.02603	0.698555	-0.958798	0.418879	0.577938	-1.31561	0.887415	-0.282591	0
25	1.87932	1.02603	0.698555	0.73716	0.418879	0.577938	-1.31561	0.887415	-0.282591	0
26	0.906943	-0.944427	0.698555	2.00913	0.418879	0.577938	0.996911	-0.137007	-0.282591	0
27	0.663848	1.02603	0.698555	-0.958798	0.418879	-1.72912	-1.31561	0.887415	-0.282591	0
28	-0.430078	1.02603	0.698555	-1.38279	0.418879	-1.72912	-1.31561	0.887415	-0.282591	0
29	-1.03781	1.02603	0.698555	-1.38279	0.418879	-1.72912	-0.159349	-1.16143	-0.282591	0
30	1.27159	-1.92965	-1.75138	2.00913	0.418879	0.577938	-0.159349	0.887415	-0.282591	0
31	-0.186983	0.0408003	0.698555	-0.534808	0.418879	0.577938	-1.31561	0.887415	-0.282591	0
32	-0.186983	1.02603	0.698555	-0.534808	0.418879	0.577938	0.996911	-1.16143	-0.282591	0
33	-0.79472	-0.944427	0.698555	-1.38279	0.418879	-1.72912	-1.31561	-1.16143	-0.282591	0
34	0.0561115	-0.944427	-1.75138	-0.534808	0.418879	0.577938	0.996911	-2.18585	-0.282591	0
35	-1.03781	-0.944427	-0.526411	-0.958798	0.418879	0.577938	0.996911	-0.137007	-0.282591	0
