	f1	f2	f3	f4	f5	clase
1	-2.04427	1.37092	-0.726939	-2.35125	-0.68774	2
2	0.485933	0.198895	-0.726939	-2.35125	-0.842854	2
3	-2.04427	1.37092	-0.726939	0.42249	1.63897	2
4	-2.04427	-1.26614	-0.86931	0.42249	0.398057	2
5	0.485933	-0.973132	0.412027	0.42249	2.10431	2
6	0.485933	1.37092	-0.726939	-2.35125	-0.610183	2
7	0.485933	-0.680125	-0.442198	0.42249	-0.68774	2
8	0.485933	-0.533622	-0.726939	0.42249	-0.0672845	2
9	-2.04427	1.22442	-0.726939	-2.35125	2.33698	2
10	0.485933	0.198895	-0.726939	-2.35125	-0.610183	2
11	0.485933	-0.533622	1.97811	0.42249	-1.46331	2
12	0.485933	-0.0941115	-1.01168	0.42249	0.165386	2
13	0.485933	0.638406	1.83573	0.42249	0.0878293	2
14	0.485933	-1.11964	1.26625	0.42249	0.863398	2
15	0.485933	-1.11964	1.26625	0.42249	1.09607	1
16	0.485933	-1.11964	1.26625	0.42249	1.17363	1
17	0.485933	-0.973132	0.412027	0.42249	-1.38575	1
18	0.485933	1.22442	-0.726939	0.42249	1.4063	1
19	0.485933	-0.0941115	-0.726939	-2.35125	-1.38575	1
20	0.485933	-0.973132	2.40522	0.42249	1.09607	1
21	0.485933	1.66393	-0.157456	0.42249	-0.0672845	1
22	0.485933	1.66393	-0.157456	0.42249	-0.377512	1
23	0.485933	-1.70565	0.127285	0.42249	0.242943	1
24	0.485933	-1.85215	0.98151	-2.35125	-0.455069	1
25	0.485933	0.198895	0.696768	0.42249	0.708285	1
26	0.485933	-0.973132	0.412027	0.42249	-1.15308	1
27	0.485933	-0.826629	-0.726939	0.42249	-0.299955	1
28	0.485933	0.052392	0.98151	0.42249	0.785841	1
29	0.485933	1.07792	-0.86931	0.42249	1.09607	0
30	0.485933	1.22442	-0.726939	0.42249	0.0102724	0
31	0.485933	-0.387118	-1.01168	0.42249	1.79408	0
32	0.485933	0.638406	-0.442198	0.42249	-0.68774	0
33	0.485933	-0.0941115	-1.01168	0.42249	0.242943	0
34	-2.04427	-0.0941115	-0.726939	-2.35125	-1.15308	0
35	0.485933	-1.26614	-0.86931	0.42249	0.708285	0
36	0.485933	0.345399	-0.0150856	0.42249	0.630728	0
37	0.485933	-1.41264	1.12388	0.42249	-0.532626	0
38	0.485933	-1.26614	-0.86931	0.42249	1.56141	0
39	0.485933	0.052392	0.98151	0.42249	0.785841	0
40	-2.04427	1.37092	-0.726939	-2.35125	-0.68774	2
41	0.485933	0.198895	-0.726939	-2.35125	-0.842854	2
42	-2.04427	1.37092	-0.726939	0.42249	1.63897	2
43	-2.04427	-1.26614	-0.86931	0.42249	0.398057	2
44	0.485933	-0.973132	0.412027	0.42249	2.10431	2
45	0.485933	1.37092	-0.726939	-2.35125	-0.610183	2
46	0.485933	-0.680125	-0.442198	0.42249	-0.68774	2
47	0.485933	-0.533622	-0.726939	0.42249	-0.0672845	2
48	-2.04427	1.22442	-0.726939	0.42249	2.33698	2
49	0.485933	0.198895	-0.726939	-2.35125	-0.610183	2
50	0.485933	-0.533622	1.97811	0.42249	-1.46331	2
51	0.485933	-0.0941115	-1.01168	0.42249	0.165386	2
52	0.485933	0.638406	1.83573	0.42249	0.0878293	2
53	0.485933	-1.11964	1.26625	0.42249	0.863398	2
54	0.485933	-1.11964	1.26625	0.42249	1.09607	1
55	0.485933	-1.11964	1.26625	0.42249	1.17363	1
56	0.485933	-0.973132	0.412027	0.42249	-1.38575	1
57	0.485933	1.22442	-0.726939	0.42249	1.4063	1
58	0.485933	-0.0941115	-0.726939	-2.35125	-1.38575	1
59	0.485933	-0.973132	2.40522	0.42249	1.09607	1
60	0.485933	1.66393	-0.157456	0.42249	-0.0672845	1
61	0.485933	1.66393	-0.157456	0.42249	-0.377512	1
62	0.485933	-1.70565	0.127285	0.42249	0.242943	1
63	0.485933	-1.85215	0.98151	-2.35125	-0.455069	1
64	0.485933	0.198895	0.696768	0.42249	0.708285	1
65	0.485933	-0.973132	0.412027	0.42249	-1.15308	1
66	0.485933	-0.826629	-0.726939	0.42249	-0.299955	1
67	0.485933	0.052392	0.98151	0.42249	0.785841	1
68	0.485933	1.07792	-0.86931	0.42249	1.09607	0
69	0.485933	1.22442	-0.726939	0.42249	0.0102724	0
70	0.485933	-0.387118	-1.01168	0.42249	1.79408	0
71	0.485933	0.638406	-0.442198	0.42249	-0.68774	0
72	0.485933	-0.0941115	-1.01168	0.42249	0.242943	0
73	-2.04427	-0.0941115	-0.726939	-2.35125	-1.15308	0
74	0.485933	-1.26614	-0.86931	0.42249	0.708285	0
75	0.485933	0.345399	-0.0150856	0.42249	0.630728	0
76	0.485933	-1.41264	1.12388	0.42249	-0.532626	0
77	0.485933	-1.26614	-0.86931	0.42249	1.56141	0
78	0.485933	0.052392	0.98151	0.42249	0.785841	0
79	-2.04427	1.37092	-0.726939	-2.35125	-0.222398	2
80	-2.04427	-0.0941115	-0.726939	-2.35125	-0.842854	2
81	0.485933	0.345399	1.55099	0.42249	-1.30819	2
82	0.485933	-0.680125	-0.86931	0.42249	0.863398	2
83	0.485933	-0.0941115	-0.726939	-2.35125	-1.30819	2
84	0.485933	0.638406	1.83573	0.42249	-0.68774	2
85	-2.04427	1.22442	-0.726939	0.42249	1.32874	2
86	0.485933	-0.973132	0.412027	-2.35125	-0.610183	2
87	0.485933	1.37092	-0.726939	-2.35125	-0.610183	2
88	-2.04427	1.37092	-0.726939	-2.35125	-0.610183	2
89	-2.04427	1.37092	-0.726939	0.42249	0.785841	2
90	0.485933	0.052392	1.97811	0.42249	-0.842854	2
91	-2.04427	0.491902	1.26625	0.42249	-0.68774	2
92	0.485933	-0.680125	-0.442198	0.42249	-0.299955	2
93	0.485933	0.638406	2.40522	0.42249	-0.222398	2
94	-2.04427	0.491902	1.26625	0.42249	0.242943	2
95	0.485933	-1.85215	0.98151	0.42249	0.242943	2
96	0.485933	-1.85215	-0.0150856	0.42249	-0.765297	1
97	-2.04427	-0.387118	1.12388	0.42249	-0.455069	1
98	-2.04427	1.22442	0.696768	0.42249	-0.0672845	1
99	0.485933	-0.680125	-0.86931	0.42249	-1.07552	1
100	0.485933	-0.0941115	-1.01168	0.42249	-0.610183	1
101	-2.04427	-1.11964	1.26625	0.42249	0.553171	1
102	0.485933	1.37092	-0.726939	-2.35125	-0.610183	1
103	-2.04427	1.37092	-0.726939	-2.35125	-0.610183	1
104	0.485933	-1.11964	1.26625	0.42249	0.708285	1
105	-2.04427	1.22442	-0.726939	0.42249	-0.997967	1
106	0.485933	0.931413	-0.86931	0.42249	-0.222398	1
107	0.485933	1.37092	-0.726939	0.42249	-1.38575	1
108	0.485933	0.931413	-0.86931	0.42249	-1.07552	0
109	-2.04427	1.37092	-0.726939	0.42249	0.785841	0
110	0.485933	-0.0941115	-1.01168	0.42249	0.0878293	0
111	0.485933	-0.533622	-0.726939	0.42249	-0.68774	0
112	0.485933	-0.973132	0.412027	0.42249	0.165386	0
113	-2.04427	0.052392	0.98151	0.42249	0.3205	0
114	0.485933	-0.826629	-0.726939	0.42249	-0.0672845	0
115	0.485933	-0.240615	-0.157456	0.42249	0.475614	0
116	0.485933	-0.826629	-0.157456	0.42249	-0.377512	0
117	0.485933	0.198895	-1.01168	0.42249	2.95743	0
118	0.485933	1.37092	-0.726939	0.42249	-1.23064	0
119	0.485933	-1.70565	0.127285	0.42249	0.0878293	0
120	0.485933	0.198895	-1.01168	0.42249	-0.68774	0
121	0.485933	0.931413	-0.86931	0.42249	-1.92865	0
122	0.485933	-0.0941115	0.839139	0.42249	-0.842854	2
123	0.485933	-0.680125	-0.299827	0.42249	-1.61842	2
124	-2.04427	-0.533622	-0.726939	0.42249	-0.532626	2
