	f1	f2	f3	clase
1	-1.86652	-0.22821	0.520957	1
2	-1.86652	-0.22821	0.520957	1
3	-1.86652	-0.22821	0.520957	1
4	-1.86652	-0.22821	0.520957	1
5	-1.86652	-0.22821	0.520957	1
6	-1.86652	-0.22821	0.520957	1
7	-1.86652	-0.22821	0.520957	1
8	-1.86652	-0.22821	0.520957	1
9	-1.86652	-0.22821	0.520957	1
10	-1.86652	-0.22821	0.520957	1
11	-1.86652	-0.22821	0.520957	1
12	-1.86652	-0.22821	0.520957	1
13	-1.86652	-0.22821	0.520957	1
14	-1.86652	-0.22821	0.520957	1
15	-1.86652	-0.22821	0.520957	1
16	-1.86652	-0.22821	0.520957	1
17	-1.86652	-0.22821	0.520957	1
18	-1.86652	-0.22821	0.520957	1
19	-1.86652	-0.22821	0.520957	1
20	-1.86652	-0.22821	0.520957	1
21	-1.86652	-0.22821	0.520957	1
22	-1.86652	-0.22821	0.520957	1
23	-1.86652	-0.22821	0.520957	1
24	-1.86652	-0.22821	0.520957	1
25	-1.86652	-0.22821	0.520957	1
26	-1.86652	-0.22821	0.520957	1
27	-1.86652	-0.22821	0.520957	1
28	-1.86652	-0.22821	0.520957	1
29	-1.86652	-0.22821	0.520957	1
30	-1.86652	-0.22821	0.520957	1
31	-1.86652	-0.22821	0.520957	1
32	-1.86652	-0.22821	0.520957	1
33	-1.86652	-0.22821	0.520957	1
34	-1.86652	-0.22821	0.520957	1
35	-1.86652	-0.22821	0.520957	1
36	-1.86652	-0.22821	0.520957	1
37	-1.86652	-0.22821	0.520957	1
38	-1.86652	-0.22821	0.520957	1
39	-1.86652	-0.22821	0.520957	1
40	-1.86652	-0.22821	0.520957	1
41	-1.86652	-0.22821	0.520957	1
42	-1.86652	-0.22821	0.520957	1
43	-1.86652	-0.22821	0.520957	1
44	-1.86652	-0.22821	0.520957	1
45	-1.86652	-0.22821	0.520957	1
46	-1.86652	-0.22821	0.520957	1
47	-1.86652	-0.22821	0.520957	1
48	-1.86652	-0.22821	0.520957	1
49	-1.86652	-0.22821	0.520957	1
50	-1.86652	-0.22821	0.520957	1
51	-1.86652	-0.22821	0.520957	1
52	-1.86652	-0.22821	0.520957	1
53	-1.86652	-0.22821	0.520957	1
54	-1.86652	-0.22821	0.520957	1
55	-1.86652	-0.22821	0.520957	1
56	-1.86652	-0.22821	0.520957	1
